"ID","STANDARD","ITEM_TYPE","DOK","DOMAIN","UDOMAIN","POINTS"
"MA832020731","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA891814630","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA87625274","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA848082023","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA877029559","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA878929744","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA836864782","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA842301312","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA820178211","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA857928958","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA864544421","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA839550615","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA884910096","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA878015021","MA 8.1.1.a","Dichotomous",1,"NR","NUM",1
"MA820487916","MA 8.1.1.a","Polytomous",1,"NR","NUM",2
"MA836671498","MA 8.1.1.a","Polytomous",1,"NR","NUM",2
"MA843765304","MA 8.1.1.a","Polytomous",1,"NR","NUM",2
"MA830751255","MA 8.1.1.a","Polytomous",1,"NR","NUM",2
"MA844191995","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA87150708","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA887490477","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA892194393","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA844205634","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA873713316","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA843528436","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA848280720","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA844799506","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA852153145","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA826325946","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA819592092","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA822668094","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA881324941","MA 8.1.1.b","Dichotomous",1,"NR","NUM",1
"MA841239087","MA 8.1.1.b","Polytomous",1,"NR","NUM",2
"MA85366466","MA 8.1.1.b","Polytomous",1,"NR","NUM",2
"MA872055279","MA 8.1.1.b","Polytomous",1,"NR","NUM",2
"MA826762986","MA 8.1.1.b","Polytomous",1,"NR","NUM",2
"MA843313096","MA 8.1.1.d","Dichotomous",1,"NR","NUM",1
"MA876860481","MA 8.1.1.d","Dichotomous",1,"NR","NUM",1
"MA828095541","MA 8.1.1.d","Polytomous",1,"NR","NUM",2
"MA822470925","MA 8.1.1.d","Polytomous",1,"NR","NUM",2
"MA89195586","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA887902922","MA 8.1.1.d","Dichotomous",1,"NR","NUM",1
"MA839082554","MA 8.1.1.d","Dichotomous",1,"NR","NUM",1
"MA885148632","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA837868205","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA865212183","MA 8.1.1.d","Dichotomous",1,"NR","NUM",1
"MA872246241","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA81847862","MA 8.1.1.d","Polytomous",1,"NR","NUM",2
"MA876129547","MA 8.1.1.d","Dichotomous",1,"NR","NUM",1
"MA890297870","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA818252944","MA 8.1.1.d","Polytomous",2,"NR","NUM",2
"MA898047111","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA899025792","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA836974959","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA814324266","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA874857394","MA 8.1.1.d","Dichotomous",2,"NR","NUM",1
"MA892969251","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA816701719","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA889971594","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA839922224","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA819495106","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA83928491","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA847624696","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA849922478","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA827060484","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA899203240","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA876717485","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA860186495","MA 8.1.2.a","Dichotomous",1,"NO","NUM",1
"MA831564070","MA 8.1.2.a","Polytomous",1,"NO","NUM",2
